Трубная,55.7688,37.62
Тульская,55.7087,37.6229
Тургеневская,55.7661,37.6374
Тушинская,55.8267,37.4368
Улица 1905 года,55.765,37.5613
Улица академика Янгеля,55.5949,37.6004
Улица Горчакова,55.5418,37.5308
Улица Скобелевская,55.5481,37.5546
Улица Старокачаловская,55.569,37.5767
Университет,55.6926,37.5333
Филевский парк,55.7396,37.4833
Фили,55.746,37.515
Фрунзенская,55.7267,37.5786
Царицыно,55.6214,37.6694
Цветной бульвар,55.7708,37.6187
Черкизовская,55.8038,37.7448
Чертановская,55.6405,37.6067
Чеховская,55.7644,37.6097
Чистые пруды,55.7657,37.6388
Чкаловская,55.7565,37.6573
Шаболовская,55.7198,37.6083
Шипиловская,55.6211,37.7437
Шоссе Энтузиастов,55.7576,37.75
Щелковская,55.8094,37.7986
Щукинская,55.8086,37.4641
Электрозаводская,55.7817,37.7037
Юго-Западная,55.6637,37.4833
Южная,55.6224,37.609
Ясенево,55.6063,37.5333
